,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
AG00, Collin C. Peterson, David  Scott, Jim  Costa, Marcia L. Fudge, James P. McGovern, Filemon  Vela, Stacey E. Plaskett, Alma S. Adams, Abigail Davis Spanberger, Jahana  Hayes, Antonio  Delgado, TJ  Cox, Angie  Craig, Anthony  Brindisi, Josh  Harder, Kim  Schrier, Chellie  Pingree, Cheri  Bustos, Sean Patrick Maloney, Salud O. Carbajal, Al  Lawson, Tom  O'Halleran, Jimmy  Panetta, Ann  Kirkpatrick, Cynthia  Axne, Xochitl  Torres Small, K. Michael Conaway, Glenn  Thompson, Austin  Scott," Eric A. ""Rick"" Crawford", Scott  DesJarlais, Vicky  Hartzler, Doug  LaMalfa, Rodney  Davis, Ted S. Yoho, Rick W. Allen, Mike  Bost, David  Rouzer, Ralph Lee Abraham, Trent  Kelly, Roger W. Marshall, Don  Bacon, Neal P. Dunn, Dusty  Johnson, James R. Baird, Jim  Hagedorn, Chris  Jacobs, Troy  Balderson,,,,,,,,,,,,,,,,,,,
AG14, Stacey E. Plaskett, Antonio  Delgado, TJ  Cox, Josh  Harder, Anthony  Brindisi, Kim  Schrier, Chellie  Pingree, Salud O. Carbajal, Jimmy  Panetta, Sean Patrick Maloney, Al  Lawson, Xochitl  Torres Small, Neal P. Dunn, Glenn  Thompson, Vicky  Hartzler, Doug  LaMalfa, Rodney  Davis, Ted S. Yoho, Mike  Bost, Jim  Hagedorn, Chris  Jacobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG22, David  Scott, Filemon  Vela, Stacey E. Plaskett, Abigail Davis Spanberger, Antonio  Delgado, Angie  Craig, Sean Patrick Maloney, Ann  Kirkpatrick, Cynthia  Axne, Austin  Scott," Eric A. ""Rick"" Crawford", Mike  Bost, David  Rouzer, Roger W. Marshall, Neal P. Dunn, Dusty  Johnson, James R. Baird, Troy  Balderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG15, Abigail Davis Spanberger, Marcia L. Fudge, Tom  O'Halleran, Chellie  Pingree, Cynthia  Axne, Doug  LaMalfa, Rick W. Allen, Ralph Lee Abraham, Trent  Kelly, Troy  Balderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG16, Filemon  Vela, Angie  Craig, David  Scott, Al  Lawson, Salud O. Carbajal, Xochitl  Torres Small, Glenn  Thompson, Austin  Scott," Eric A. ""Rick"" Crawford", Rick W. Allen, Ralph Lee Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG29, Jim  Costa, Anthony  Brindisi, Jahana  Hayes, TJ  Cox, Angie  Craig, Josh  Harder, Filemon  Vela, Stacey E. Plaskett, Salud O. Carbajal, Cheri  Bustos, Jimmy  Panetta, David  Rouzer, Glenn  Thompson, Scott  DesJarlais, Vicky  Hartzler, Trent  Kelly, Roger W. Marshall, Don  Bacon, Jim  Hagedorn, James R. Baird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG03, Marcia L. Fudge, James P. McGovern, Alma S. Adams, Jahana  Hayes, Kim  Schrier, Al  Lawson, Jimmy  Panetta, Dusty  Johnson, Scott  DesJarlais, Rodney  Davis, Ted S. Yoho, Don  Bacon, Chris  Jacobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP00, Nita M. Lowey, Marcy  Kaptur, Peter J. Visclosky, Jose E. Serrano, Rosa L. DeLauro, David E. Price, Lucille  Roybal-Allard, Sanford D. Bishop, Barbara  Lee, Betty  McCollum, Tim  Ryan, C. A. Dutch Ruppersberger, Debbie  Wasserman Schultz, Henry  Cuellar, Chellie  Pingree, Mike  Quigley, Derek  Kilmer, Matt  Cartwright, Grace  Meng, Mark  Pocan, Katherine M. Clark, Pete  Aguilar, Lois  Frankel, Cheri  Bustos, Bonnie  Watson Coleman, Brenda L. Lawrence, Norma J. Torres, Charlie  Crist, Ann  Kirkpatrick, Ed  Case, Kay  Granger, Harold  Rogers, Robert B. Aderholt, Michael K. Simpson, John R. Carter, Ken  Calvert, Tom  Cole, Mario  Diaz-Balart, Steve  Womack, Jeff  Fortenberry," Charles J. ""Chuck"" Fleischmann", Jaime  Herrera Beutler, David P. Joyce, Andy  Harris, Martha  Roby, Mark E. Amodei, Chris  Stewart, Steven M. Palazzo, Dan  Newhouse, John R. Moolenaar, John H. Rutherford, Will  Hurd,,,,,,,,,,,,,,,
AP01, Sanford D. Bishop, Rosa L. DeLauro, Chellie  Pingree, Mark  Pocan, Barbara  Lee, Betty  McCollum, Henry  Cuellar, Jeff  Fortenberry, Robert B. Aderholt, Andy  Harris, John R. Moolenaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP19, Jose E. Serrano, Matt  Cartwright, Grace  Meng, Brenda L. Lawrence, Charlie  Crist, Ed  Case, Marcy  Kaptur, Robert B. Aderholt, Martha  Roby, Steven M. Palazzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP02, Peter J. Visclosky, Betty  McCollum, Tim  Ryan, C. A. Dutch Ruppersberger, Marcy  Kaptur, Henry  Cuellar, Derek  Kilmer, Pete  Aguilar, Cheri  Bustos, Charlie  Crist, Ann  Kirkpatrick, Ken  Calvert, Harold  Rogers, Tom  Cole, Steve  Womack, Robert B. Aderholt, John R. Carter, Mario  Diaz-Balart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP10, Marcy  Kaptur, Peter J. Visclosky, Debbie  Wasserman Schultz, Ann  Kirkpatrick, Derek  Kilmer, Mark  Pocan, Lois  Frankel, Michael K. Simpson, Ken  Calvert," Charles J. ""Chuck"" Fleischmann", Dan  Newhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP23, Mike  Quigley, Jose E. Serrano, Matt  Cartwright, Sanford D. Bishop, Norma J. Torres, Charlie  Crist, Ann  Kirkpatrick, Mark E. Amodei, Chris  Stewart, David P. Joyce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP15, Lucille  Roybal-Allard, Henry  Cuellar, C. A. Dutch Ruppersberger, David E. Price, Debbie  Wasserman Schultz, Grace  Meng, Pete  Aguilar," Charles J. ""Chuck"" Fleischmann", Steven M. Palazzo, Dan  Newhouse, John H. Rutherford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP06, Betty  McCollum, Chellie  Pingree, Derek  Kilmer, Jose E. Serrano, Mike  Quigley, Bonnie  Watson Coleman, Brenda L. Lawrence, David P. Joyce, Michael K. Simpson, Chris  Stewart, Mark E. Amodei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP07, Rosa L. DeLauro, Lucille  Roybal-Allard, Barbara  Lee, Mark  Pocan, Katherine M. Clark, Lois  Frankel, Cheri  Bustos, Bonnie  Watson Coleman, Tom  Cole, Andy  Harris, Jaime  Herrera Beutler, John R. Moolenaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP24, Tim  Ryan, C. A. Dutch Ruppersberger, Katherine M. Clark, Ed  Case, Jaime  Herrera Beutler, Dan  Newhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP18, Debbie  Wasserman Schultz, Sanford D. Bishop, Ed  Case, Tim  Ryan, Chellie  Pingree, Matt  Cartwright, Cheri  Bustos, John R. Carter, Martha  Roby, John H. Rutherford, Will  Hurd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP04, Nita M. Lowey, Barbara  Lee, Grace  Meng, David E. Price, Lois  Frankel, Norma J. Torres, Harold  Rogers, Jeff  Fortenberry, Martha  Roby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP20, David E. Price, Mike  Quigley, Katherine M. Clark, Bonnie  Watson Coleman, Brenda L. Lawrence, Norma J. Torres, Pete  Aguilar, Mario  Diaz-Balart, Steve  Womack, John H. Rutherford, Will  Hurd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS00, Adam  Smith, Susan A. Davis, James R. Langevin, Rick  Larsen, Jim  Cooper, Joe  Courtney, John  Garamendi, Jackie  Speier, Tulsi  Gabbard, Donald  Norcross, Ruben  Gallego, Seth  Moulton, Salud O. Carbajal, Anthony G. Brown, Ro  Khanna, William R. Keating, Filemon  Vela, Andy  Kim, Kendra S. Horn, Gilbert Ray Cisneros, Chrissy  Houlahan, Jason  Crow, Xochitl  Torres Small, Elissa  Slotkin, Mikie  Sherrill, Veronica  Escobar, Debra A. Haaland, Jared F. Golden, Lori  Trahan, Elaine G. Luria, Anthony  Brindisi, Mac  Thornberry, Joe  Wilson, Rob  Bishop, Michael R. Turner, Mike  Rogers, K. Michael Conaway, Doug  Lamborn, Robert J. Wittman, Vicky  Hartzler, Austin  Scott, Mo  Brooks, Paul  Cook, Bradley  Byrne, Sam  Graves, Elise M. Stefanik, Scott  DesJarlais, Ralph Lee Abraham, Trent  Kelly, Mike  Gallagher, Matt  Gaetz, Don  Bacon, Jim  Banks, Liz  Cheney, Paul  Mitchell, Jack  Bergman, Michael  Waltz,,,,,,,,,,
AS26, James R. Langevin, Rick  Larsen, Jim  Cooper, Tulsi  Gabbard, Anthony G. Brown, Ro  Khanna, William R. Keating, Andy  Kim, Chrissy  Houlahan, Jason  Crow, Elissa  Slotkin, Lori  Trahan, Elise M. Stefanik, Sam  Graves, Ralph Lee Abraham, K. Michael Conaway, Austin  Scott, Scott  DesJarlais, Mike  Gallagher, Michael  Waltz, Don  Bacon, Jim  Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS02, Jackie  Speier, Susan A. Davis, Ruben  Gallego, Gilbert Ray Cisneros, Veronica  Escobar, Debra A. Haaland, Lori  Trahan, Elaine G. Luria, Trent  Kelly, Ralph Lee Abraham, Liz  Cheney, Paul  Mitchell, Jack  Bergman, Matt  Gaetz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS03, John  Garamendi, Tulsi  Gabbard, Andy  Kim, Kendra S. Horn, Chrissy  Houlahan, Jason  Crow, Xochitl  Torres Small, Elissa  Slotkin, Veronica  Escobar, Debra A. Haaland, Doug  Lamborn, Austin  Scott, Joe  Wilson, Rob  Bishop, Mike  Rogers, Mo  Brooks, Elise M. Stefanik, Jack  Bergman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS28, Joe  Courtney, James R. Langevin, Jim  Cooper, Donald  Norcross, Seth  Moulton, Filemon  Vela, Gilbert Ray Cisneros, Mikie  Sherrill, Jared F. Golden, Elaine G. Luria, Anthony  Brindisi, Robert J. Wittman, K. Michael Conaway, Mike  Gallagher, Jack  Bergman, Michael  Waltz, Vicky  Hartzler, Paul  Cook, Bradley  Byrne, Trent  Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS29, Jim  Cooper, Susan A. Davis, Rick  Larsen, John  Garamendi, Jackie  Speier, Seth  Moulton, Salud O. Carbajal, Ro  Khanna, William R. Keating, Kendra S. Horn, Michael R. Turner, Joe  Wilson, Rob  Bishop, Mike  Rogers, Mo  Brooks, Bradley  Byrne, Scott  DesJarlais, Liz  Cheney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS25, Donald  Norcross, James R. Langevin, Joe  Courtney, Ruben  Gallego, Salud O. Carbajal, Anthony G. Brown, Filemon  Vela, Xochitl  Torres Small, Mikie  Sherrill, Jared F. Golden, Anthony  Brindisi, Vicky  Hartzler, Paul  Cook, Matt  Gaetz, Don  Bacon, Jim  Banks, Paul  Mitchell, Michael R. Turner, Doug  Lamborn, Robert J. Wittman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU00, John A. Yarmuth, Seth  Moulton, Hakeem S. Jeffries, Brian  Higgins, Brendan F. Boyle, Rosa L. DeLauro, Lloyd  Doggett, David E. Price, Janice D. Schakowsky, Daniel T. Kildee, Jimmy  Panetta, Joseph D. Morelle, Steven  Horsford," Robert C. ""Bobby"" Scott", Sheila  Jackson Lee, Barbara  Lee, Pramila  Jayapal, Ilhan  Omar, Albio  Sires, Scott H. Peters, Jim  Cooper, Ro  Khanna, Steve  Womack, Rob  Woodall, Bill  Johnson, Jason  Smith, Bill  Flores, George  Holding, Chris  Stewart, Ralph  Norman, Kevin  Hern, Chip  Roy, Daniel  Meuser, Dan  Crenshaw, Tim  Burchett, Chris  Jacobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED00," Robert C. ""Bobby"" Scott", Susan A. Davis, Rael M. Grijalva, Joe  Courtney, Marcia L. Fudge, Gregorio Kilili Camacho Sablan, Frederica S. Wilson, Suzanne  Bonamici, Mark  Takano, Alma S. Adams, Mark  DeSaulnier, Donald  Norcross, Pramila  Jayapal, Joseph D. Morelle, Susan  Wild, Josh  Harder, Lucy  McBath, Kim  Schrier, Lauren  Underwood, Jahana  Hayes, Donna E. Shalala, Andy  Levin, Ilhan  Omar, David J. Trone, Haley M. Stevens, Susie  Lee, Lori  Trahan, Joaquin  Castro, Virginia  Foxx, David P. Roe, Glenn  Thompson, Tim  Walberg, Brett  Guthrie, Bradley  Byrne, Glenn  Grothman, Elise M. Stefanik, Rick W. Allen, Lloyd  Smucker, Jim  Banks, Mark  Walker, James  Comer, Ben  Cline, Russ  Fulcher, Ron  Wright, Daniel  Meuser, Dusty  Johnson, Fred  Keller, Gregory F. Murphy, Jefferson  Van Drew,,,,,,,,,,,,,,,,,,
ED07, Suzanne  Bonamici, Rael M. Grijalva, Marcia L. Fudge, Kim  Schrier, Jahana  Hayes, David J. Trone, Susie  Lee, Ben  Cline, Glenn  Thompson, James  Comer, Dusty  Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED14, Gregorio Kilili Camacho Sablan, Kim  Schrier, Jahana  Hayes, Donna E. Shalala, Susan A. Davis, Frederica S. Wilson, Mark  DeSaulnier, Joseph D. Morelle, Rick W. Allen, Glenn  Thompson, Glenn  Grothman, Fred  Keller, Jefferson  Van Drew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED02, Frederica S. Wilson, Donald  Norcross, Joseph D. Morelle, Susan  Wild, Lucy  McBath, Lauren  Underwood, Haley M. Stevens, Joe  Courtney, Marcia L. Fudge, Josh  Harder, Donna E. Shalala, Andy  Levin, Lori  Trahan," Robert C. ""Bobby"" Scott", Tim  Walberg, David P. Roe, Elise M. Stefanik, Rick W. Allen, Jim  Banks, Russ  Fulcher, Ron  Wright, Daniel  Meuser, Dusty  Johnson, Fred  Keller, Jefferson  Van Drew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED13, Susan A. Davis, Joe  Courtney, Mark  Takano, Pramila  Jayapal, Josh  Harder, Andy  Levin, Ilhan  Omar, David J. Trone, Susie  Lee, Lori  Trahan, Joaquin  Castro, Rael M. Grijalva, Gregorio Kilili Camacho Sablan, Suzanne  Bonamici, Alma S. Adams, Donald  Norcross, Lloyd  Smucker, Brett  Guthrie, Glenn  Grothman, Elise M. Stefanik, Jim  Banks, Mark  Walker, James  Comer, Ben  Cline, Russ  Fulcher, Daniel  Meuser, Gregory F. Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED10, Alma S. Adams, Mark  DeSaulnier, Mark  Takano, Pramila  Jayapal, Susan  Wild, Lucy  McBath, Ilhan  Omar, Haley M. Stevens, Bradley  Byrne, Lloyd  Smucker, Mark  Walker, Ron  Wright, Gregory F. Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF00, Frank  Pallone, Bobby L. Rush, Anna G. Eshoo, Eliot L. Engel, Diana  DeGette, Michael F. Doyle, Janice D. Schakowsky, G. K. Butterfield, Doris O. Matsui, Kathy  Castor, John P. Sarbanes, Jerry  McNerney, Peter  Welch, Ben Ray Lujen, Paul  Tonko, Yvette D. Clarke, David  Loebsack, Kurt  Schrader, Joseph P. Kennedy, Tony  Cerdenas, Raul  Ruiz, Scott H. Peters, Debbie  Dingell, Marc A. Veasey, Ann M. Kuster, Robin L. Kelly, Nanette Diaz Barragen, A. Donald McEachin, Lisa  Blunt Rochester, Darren  Soto, Tom  O'Halleran, Greg  Walden, Fred  Upton, John  Shimkus, Michael C. Burgess, Steve  Scalise, Robert E. Latta, Cathy McMorris Rodgers, Brett  Guthrie, Pete  Olson, David B. McKinley, Adam  Kinzinger, H. Morgan Griffith, Gus M. Bilirakis, Bill  Johnson, Billy  Long, Larry  Bucshon, Bill  Flores, Susan W. Brooks, Markwayne  Mullin, Richard  Hudson, Tim  Walberg," Earl L. ""Buddy"" Carter", Jeff  Duncan, Greg  Gianforte,,,,,,,,,,,,
IF16, Michael F. Doyle, Jerry  McNerney, Yvette D. Clarke, David  Loebsack, Marc A. Veasey, A. Donald McEachin, Darren  Soto, Tom  O'Halleran, Anna G. Eshoo, Diana  DeGette, G. K. Butterfield, Doris O. Matsui, Peter  Welch, Ben Ray Lujen, Kurt  Schrader, Tony  Cerdenas, Debbie  Dingell, Frank  Pallone, Robert E. Latta, John  Shimkus, Steve  Scalise, Pete  Olson, Adam  Kinzinger, Gus M. Bilirakis, Bill  Johnson, Billy  Long, Bill  Flores, Susan W. Brooks, Tim  Walberg, Greg  Gianforte, Greg  Walden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF17, Janice D. Schakowsky, Kathy  Castor, Marc A. Veasey, Robin L. Kelly, Tom  O'Halleran, Ben Ray Lujen, Tony  Cerdenas, Lisa  Blunt Rochester, Darren  Soto, Bobby L. Rush, Doris O. Matsui, Jerry  McNerney, Debbie  Dingell, Frank  Pallone, Cathy McMorris Rodgers, Fred  Upton, Michael C. Burgess, Robert E. Latta, Brett  Guthrie, Larry  Bucshon, Richard  Hudson," Earl L. ""Buddy"" Carter", Greg  Gianforte, Greg  Walden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF03, Bobby L. Rush, Scott H. Peters, Michael F. Doyle, John P. Sarbanes, Jerry  McNerney, Paul  Tonko, David  Loebsack, G. K. Butterfield, Peter  Welch, Kurt  Schrader, Joseph P. Kennedy, Marc A. Veasey, Ann M. Kuster, Robin L. Kelly, Nanette Diaz Barragen, A. Donald McEachin, Tom  O'Halleran, Lisa  Blunt Rochester, Frank  Pallone, Fred  Upton, Robert E. Latta, Cathy McMorris Rodgers, Pete  Olson, David B. McKinley, Adam  Kinzinger, H. Morgan Griffith, Bill  Johnson, Larry  Bucshon, Bill  Flores, Richard  Hudson, Tim  Walberg, Jeff  Duncan, Greg  Walden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
