value,id,variable
 A. Drew Ferguson IV,4,4
 Aaron Bean,10,10
 Abigail Davis Spanberger,6,6
 Adam B. Schiff,2,2
 Adam Smith,1,1
 Adrian Smith,4,4
 Adriano Espaillat,4,4
 Al Green,4,4
 Alexander X. Mooney,3,3
 Alexandria Ocasio-Cortez,4,4
 Alma S. Adams,6,6
 Ami Bera,8,8
 Andre Carson,6,6
 Andrea Salinas,7,7
 Andrew Ogles,4,4
 Andrew R. Garbarino,6,6
 Andrew S. Clyde,4,4
 Andy Barr,6,6
 Andy Biggs,6,6
 Andy Harris,4,4
 Andy Kim,7,7
 Angie Craig,6,6
 Ann M. Kuster,4,4
 Ann Wagner,6,6
 Anna G. Eshoo,3,3
 Anna Paulina Luna,7,7
 Anthony D'Esposito,10,10
 Ashley Hinson,5,5
 August Pfluger,6,6
 Aumua Amata Coleman Radewagen,9,9
 Austin Scott,12,12
 Ayanna Pressley,6,6
 Barbara Lee,5,5
 Barry Loudermilk,6,6
 Barry Moore,7,7
 Becca Balint,4,4
 Ben Cline,9,9
 Bennie G. Thompson,7,7
 Beth Van Duyne,6,6
 Betty McCollum,3,3
 Bill Foster,4,4
 Bill Huizenga,6,6
" Bill Pascrell, Jr.",3,3
 Bill Posey,6,6
 Blaine Luetkemeyer,8,8
 Blake D. Moore,5,5
 Bob Good,4,4
 Bonnie Watson Coleman,3,3
 Brad Finstad,7,7
 Brad R. Wenstrup,9,9
 Brad Sherman,7,7
 Bradley Scott Schneider,4,4
 Brandon Williams,10,10
 Brendan F. Boyle,1,1
 Brett Guthrie,4,4
 Brian Babin,7,7
 Brian J. Mast,7,7
 Brian K. Fitzpatrick,6,6
 Brittany Pettersen,3,3
 Bruce Westerman,10,10
 Bryan Steil,4,4
 Burgess Owens,7,7
 Byron Donalds,6,6
 C. A. Dutch Ruppersberger,3,3
 Carlos A. Gimenez,7,7
 Carol D. Miller,3,3
 Cathy McMorris Rodgers,7,7
 Celeste Maloy,7,7
" Charles J. ""Chuck"" Fleischmann",7,7
 Chellie Pingree,7,7
 Chip Roy,6,6
 Chris Pappas,9,9
 Chrissy Houlahan,5,5
 Christopher H. Smith,3,3
 Christopher R. Deluzio,6,6
 Chuck Edwards,5,5
 Claudia Tenney,6,6
 Clay Higgins,6,6
 Cliff Bentz,6,6
 Colin Z. Allred,7,7
 Cori Bush,6,6
 Cory Mills,6,6
 Dale W. Strong,9,9
 Dan Bishop,7,7
 Dan Crenshaw,7,7
 Dan Newhouse,5,5
 Daniel Meuser,7,7
 Daniel S. Goldman,6,6
 Daniel T. Kildee,4,4
 Daniel Webster,9,9
 Danny K. Davis,3,3
 Darin LaHood,7,7
 Darrell Issa,10,10
 Darren Soto,5,5
 David G. Valadao,6,6
 David J. Trone,4,4
 David Kustoff,4,4
 David P. Joyce,4,4
 David Rouzer,6,6
 David Schweikert,4,4
 David Scott,4,4
 Dean Phillips,5,5
 Debbie Dingell,9,9
 Debbie Lesko,6,6
 Debbie Wasserman Schultz,5,5
 Deborah K. Ross,9,9
 Delia C. Ramirez,6,6
 Derek Kilmer,7,7
 Derrick Van Orden,10,10
 Diana DeGette,4,4
 Diana Harshbarger,4,4
 Dina Titus,7,7
 Don Bacon,7,7
 Donald G. Davis,7,7
 Donald Norcross,7,7
" Donald S. Beyer, Jr.",4,4
 Doris O. Matsui,3,3
 Doug LaMalfa,10,10
 Doug Lamborn,6,6
 Dusty Johnson,8,8
 Dwight Evans,3,3
 Earl Blumenauer,4,4
" Earl L. ""Buddy"" Carter",5,5
 Ed Case,7,7
 Eleanor Holmes Norton,9,9
 Elijah Crane,9,9
 Elise M. Stefanik,10,10
 Elissa Slotkin,5,5
 Emanuel Cleaver,3,3
 Emilia Strong Sykes,5,5
" Eric A. ""Rick"" Crawford",11,11
 Eric Burlison,11,11
 Eric Sorensen,6,6
 Eric Swalwell,6,6
 Erin Houchin,9,9
 Frank D. Lucas,12,12
 Frank J. Mrvan,5,5
" Frank Pallone, Jr.",7,7
 Frederica S. Wilson,7,7
 Gabe Amo,4,4
 Gabe Vasquez,6,6
 Garret Graves,6,6
 Gary J. Palmer,6,6
 Gerald E. Connolly,7,7
 Glenn Grothman,7,7
 Glenn Ivey,7,7
 Glenn Thompson,4,4
 Grace F. Napolitano,8,8
 Grace Meng,3,3
 Greg Casar,6,6
 Greg Landsman,6,6
 Greg Pence,4,4
 Greg Stanton,6,6
 Gregorio Kilili Camacho Sablan,6,6
 Gregory F. Murphy,7,7
 Gregory W. Meeks,4,4
 Gus M. Bilirakis,4,4
 Guy Reschenthaler,6,6
 Gwen Moore,4,4
 H. Morgan Griffith,6,6
 Haley M. Stevens,5,5
 Harold Rogers,4,4
 Harriet M. Hageman,7,7
" Henry C. ""Hank"" Johnson, Jr.",8,8
 Henry Cuellar,4,4
 Hillary J. Scholten,7,7
 Ilhan Omar,4,4
 J. French Hill,9,9
 J. Luis Correa,6,6
 Jack Bergman,8,8
 Jahana Hayes,6,6
 Jake Auchincloss,5,5
 Jake Ellzey,7,7
 Jake LaTurner,6,6
 Jamaal Bowman,5,5
 James A. Himes,2,2
 James C. Moylan,6,6
 James Comer,4,4
 James P. McGovern,4,4
 James R. Baird,10,10
 Jamie Raskin,1,1
 Janice D. Schakowsky,5,5
 Jared F. Golden,7,7
 Jared Huffman,8,8
 Jared Moskowitz,5,5
 Jasmine Crockett,7,7
 Jason Crow,5,5
 Jason Smith,1,1
 Jay Obernolte,6,6
 Jeff Duncan,4,4
 Jeff Jackson,6,6
 Jefferson Van Drew,8,8
 Jennifer Kiggans,10,10
 Jennifer L. McClellan,5,5
 Jennifer Wexton,4,4
 Jenniffer Gonzelez-Colen,7,7
 Jerrold Nadler,1,1
 Jerry L. Carl,7,7
" Jeses G. ""Chuy"" Garcea",4,4
 Jill N. Tokuda,9,9
 Jim Banks,7,7
 Jim Costa,5,5
 Jim Jordan,3,3
 Jimmy Gomez,7,7
 Jimmy Panetta,6,6
 Joaquin Castro,6,6
 Jodey C. Arrington,4,4
 Joe Courtney,6,6
 Joe Neguse,8,8
 Joe Wilson,8,8
 John B. Larson,3,3
 John Garamendi,10,10
 John H. Rutherford,5,5
 John James,7,7
 John Joyce,6,6
 John P. Sarbanes,4,4
 John R. Carter,4,4
 John R. Curtis,6,6
 John R. Moolenaar,5,5
 John S. Duarte,11,11
 John W. Rose,8,8
 Jonathan L. Jackson,5,5
 Joseph D. Morelle,5,5
 Josh Brecheen,4,4
 Josh Gottheimer,7,7
 Josh Harder,3,3
 Joyce Beatty,3,3
 Juan Ciscomani,7,7
 Juan Vargas,4,4
 Judy Chu,8,8
 Julia Brownley,6,6
 Julia Letlow,5,5
 Kat Cammack,7,7
 Kathy Castor,5,5
 Kathy E. Manning,6,6
 Katie Porter,6,6
 Kay Granger,1,1
 Keith Self,6,6
 Kelly Armstrong,6,6
 Ken Calvert,3,3
 Kevin Hern,3,3
 Kevin Kiley,11,11
 Kevin Mullin,6,6
 Kim Schrier,3,3
 Kweisi Mfume,8,8
 Lance Gooden,6,6
 Larry Bucshon,4,4
 Laurel M. Lee,9,9
 Lauren Boebert,6,6
 Lauren Underwood,3,3
 Linda T. Senchez,5,5
 Lisa Blunt Rochester,4,4
 Lisa C. McClain,9,9
 Lizzie Fletcher,3,3
 Lloyd Doggett,4,4
 Lloyd Smucker,8,8
 Lois Frankel,3,3
 Lori Chavez-DeRemer,10,10
 Lori Trahan,3,3
 Lucy McBath,6,6
 Madeleine Dean,6,6
 Marc A. Veasey,6,6
 Marcus J. Molinaro,11,11
 Marcy Kaptur,4,4
 Maria Elvira Salazar,6,6
 Mariannette Miller-Meeks,8,8
 Marie Gluesenkamp Perez,6,6
 Marilyn Strickland,6,6
 Mario Diaz-Balart,4,4
 Marjorie Taylor Greene,8,8
 Mark Alford,10,10
 Mark DeSaulnier,9,9
 Mark E. Amodei,4,4
 Mark E. Green,10,10
 Mark Pocan,3,3
 Mark Takano,4,4
 Mary E. Miller,6,6
 Mary Gay Scanlon,5,5
 Mary Sattler Peltola,6,6
 Matt Cartwright,3,3
 Matt Gaetz,7,7
" Matthew M. Rosendale, Sr.",6,6
 Max L. Miller,7,7
 Maxine Waters,1,1
 Maxwell Frost,5,5
 Melanie A. Stansbury,5,5
 Michael C. Burgess,8,8
 Michael Cloud,7,7
 Michael Guest,7,7
 Michael K. Simpson,4,4
 Michael Lawler,6,6
 Michael R. Turner,5,5
 Michael T. McCaul,2,2
 Michael Waltz,12,12
 Michelle Fischbach,7,7
 Michelle Steel,7,7
 Mike Bost,7,7
 Mike Carey,5,5
 Mike Collins,10,10
 Mike Ezell,7,7
 Mike Flood,3,3
 Mike Garcia,9,9
 Mike Kelly,3,3
 Mike Levin,6,6
 Mike Quigley,4,4
 Mike Rogers,1,1
 Mike Thompson,3,3
 Mikie Sherrill,4,4
 Monica De La Cruz,7,7
 Morgan Luttrell,9,9
 Morgan McGarvey,6,6
 Nancy Mace,9,9
 Nanette Diaz Barragen,3,3
 Nathaniel Moran,10,10
 Neal P. Dunn,5,5
 Nicholas A. Langworthy,9,9
 Nick LaLota,9,9
 Nicole Malliotakis,5,5
 Nikema Williams,3,3
 Nikki Budzinski,6,6
 Norma J. Torres,7,7
 Nydia M. Velezquez,7,7
 Pat Fallon,6,6
 Patrick Ryan,6,6
 Patrick T. McHenry,1,1
 Paul A. Gosar,6,6
 Paul Tonko,5,5
 Pete Aguilar,3,3
 Pete Sessions,6,6
 Pete Stauber,9,9
 Pramila Jayapal,6,6
 Rael M. Grijalva,9,9
 Raja Krishnamoorthi,5,5
 Ralph Norman,6,6
 Randy Feenstra,6,6
" Randy K. Weber, Sr.",6,6
 Rashida Tlaib,5,5
 Raul Ruiz,6,6
 Richard E. Neal,1,1
 Richard Hudson,2,2
 Richard McCormick,11,11
 Rick Larsen,7,7
 Rick W. Allen,6,6
 Ritchie Torres,4,4
 Ro Khanna,7,7
 Robert B. Aderholt,4,4
" Robert C. ""Bobby"" Scott",2,2
 Robert E. Latta,4,4
 Robert Garcia,8,8
 Robert J. Wittman,7,7
 Robert Menendez,6,6
 Robin L. Kelly,4,4
 Roger Williams,4,4
 Ron Estes,6,6
 Ronny Jackson,10,10
 Rosa L. DeLauro,2,2
 Ruben Gallego,7,7
 Rudy Yakym III,5,5
 Russ Fulcher,7,7
 Russell Fry,9,9
 Ryan K. Zinke,6,6
 Salud O. Carbajal,9,9
 Sam Graves,9,9
" Sanford D. Bishop, Jr.",6,6
 Sara Jacobs,6,6
 Scott DesJarlais,6,6
 Scott Fitzgerald,6,6
 Scott Franklin,9,9
 Scott H. Peters,5,5
 Scott Perry,8,8
 Sean Casten,5,5
 Seth Magaziner,5,5
 Seth Moulton,8,8
 Sharice Davids,8,8
 Sheila Cherfilus-McCormick,6,6
 Sheila Jackson Lee,8,8
 Shontel M. Brown,6,6
 Shri Thanedar,6,6
 Stacey E. Plaskett,4,4
 Steny H. Hoyer,3,3
 Stephanie I. Bice,9,9
 Stephen F. Lynch,7,7
 Steve Cohen,8,8
 Steve Womack,4,4
 Steven Horsford,6,6
 Summer L. Lee,5,5
 Susan Wild,6,6
 Susie Lee,6,6
 Suzan K. DelBene,4,4
 Suzanne Bonamici,6,6
 Sydney Kamlager-Dove,5,5
 Sylvia R. Garcia,4,4
 Ted Lieu,4,4
 Teresa Leger Fernandez,7,7
 Terri A. Sewell,7,7
" Thomas H. Kean, Jr.",10,10
 Thomas Massie,10,10
 Thomas P. Tiffany,6,6
 Thomas R. Suozzi,3,3
 Tim Burchett,10,10
 Tim Walberg,6,6
 Timothy M. Kennedy,1,1
 Tom Cole,2,2
 Tom Emmer,3,3
 Tom McClintock,7,7
 Tony Cerdenas,4,4
 Tony Gonzales,7,7
 Tracey Mann,11,11
 Trent Kelly,9,9
 Troy A. Carter,7,7
 Troy Balderson,4,4
 Troy E. Nehls,6,6
 Val T. Hoyle,5,5
 Valerie P. Foushee,6,6
 Vern Buchanan,3,3
 Veronica Escobar,7,7
 Vicente Gonzalez,3,3
 Victoria Spartz,3,3
 Virginia Foxx,6,6
 W. Gregory Steube,5,5
 Warren Davidson,7,7
 Wesley Hunt,9,9
 Wiley Nickel,4,4
 William R. Keating,6,6
 William R. Timmons IV,6,6
 Yadira Caraveo,6,6
 Young Kim,6,6
 Yvette D. Clarke,6,6
 Zachary Nunn,6,6
 Zoe Lofgren,10,10
